date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-05-19 13:47:30,58,0.018,0.028,0.282,0.123,0.022,-0.006,-0.005,-0.003,-0.398,-0.917,-0.957,0.289,ETH,0
2021-05-19 13:47:55,58,0.277,-0.019,0.114,-0.075,0.016,-0.044,-0.005,-0.005,-0.398,-0.917,-0.957,0.289,ETH,0
2021-05-19 13:47:55,59,-0.266,0.026,-0.350,-0.290,0.061,-0.047,-0.005,-0.005,-0.398,-0.917,-0.957,0.289,ETH,0
2021-05-19 13:48:20,59,0.039,-0.011,0.092,0.210,-0.057,-0.010,-0.007,-0.007,-0.398,-0.917,-0.921,0.389,ETH,0
2021-05-19 13:48:45,59,0.004,0.027,0.036,-0.022,-0.015,-0.086,-0.007,-0.005,-0.398,-0.917,-0.921,0.389,ETH,0
2021-05-19 14:07:05,60,0.016,-0.002,-0.136,-0.054,0.023,-0.161,-0.002,0.002,-0.631,-0.776,0.678,0.735,ETH,0
2021-05-20 01:00:50,61,-0.007,0.104,-0.062,0.083,0.162,0.209,0.004,0.005,0.270,0.963,0.000,1.000,ETH,0
2021-05-20 01:01:15,61,-0.093,0.062,-0.111,-0.028,0.106,0.104,0.004,0.005,0.270,0.963,0.106,0.994,ETH,0
2021-05-20 01:01:40,61,-0.036,0.010,-0.008,-0.117,0.051,-0.061,0.006,0.005,0.270,0.963,0.106,0.994,ETH,0
2021-05-21 16:04:10,62,-0.049,0.053,-0.027,-0.048,0.058,0.506,0.003,0.003,-0.942,-0.335,0.413,0.911,ETH,0
2021-05-21 16:04:35,62,-0.148,0.024,-0.148,-0.173,0.031,0.127,0.002,0.003,-0.942,-0.335,0.413,0.911,ETH,0
2021-05-21 16:05:00,62,0.038,-0.025,0.027,0.049,-0.016,0.043,0.002,0.003,-0.942,-0.335,0.508,0.862,ETH,0
2021-05-23 12:45:50,63,-0.243,0.083,-0.265,-0.220,0.153,-0.091,-0.001,-0.000,-0.136,-0.991,-0.997,0.080,ETH,0
2021-05-23 12:46:15,63,-0.098,0.031,-0.109,-0.136,0.068,-0.058,-0.000,0.000,-0.136,-0.991,-0.983,0.185,ETH,0
2021-05-23 12:46:40,63,-0.016,0.005,-0.028,-0.037,0.006,0.013,0.000,0.001,-0.136,-0.991,-0.983,0.185,ETH,0
2021-09-07 15:00:00,64,0.618,0.358,0.453,0.112,0.214,0.223,-0.004,-0.003,-0.817,-0.577,0.000,1.000,ETH,0
2021-09-07 15:00:25,64,0.004,0.153,0.043,-0.016,0.152,0.017,-0.003,-0.003,-0.817,-0.577,0.000,1.000,ETH,0
2021-09-07 15:00:50,64,-0.039,0.123,-0.060,-0.043,0.133,-0.025,-0.003,-0.003,-0.817,-0.577,0.000,1.000,ETH,0
2021-12-04 05:22:05,68,0.324,0.201,0.353,0.501,0.332,0.383,-0.003,-0.002,0.979,0.203,0.716,-0.698,ETH,0
2021-12-04 05:22:30,68,0.051,0.112,0.070,0.066,0.167,0.184,-0.003,-0.002,0.979,0.203,0.716,-0.698,ETH,0
2021-12-04 05:22:55,68,0.104,0.148,0.089,-0.021,0.099,0.082,-0.003,-0.003,0.979,0.203,0.716,-0.698,ETH,0
2022-05-11 13:50:00,69,0.010,0.081,-0.002,0.006,0.074,0.202,0.002,0.003,-0.398,-0.917,-0.818,0.575,ETH,0
2022-05-11 13:50:25,69,0.026,-0.035,0.030,0.059,-0.038,0.036,0.002,0.002,-0.398,-0.917,-0.818,0.575,ETH,0
2022-05-11 13:50:50,69,-0.022,0.024,-0.023,-0.033,0.021,-0.014,0.002,0.002,-0.398,-0.917,-0.818,0.575,ETH,0
2022-09-13 12:30:50,70,0.007,0.233,0.050,-0.010,0.167,0.356,-0.004,-0.002,-0.136,-0.991,-0.053,-0.999,ETH,0
2022-09-13 12:31:15,70,-0.004,0.190,-0.007,-0.009,0.163,0.211,-0.004,-0.004,-0.136,-0.991,-0.159,-0.987,ETH,0
2022-09-13 12:31:40,70,-0.026,0.110,-0.028,-0.018,0.119,0.103,-0.005,-0.004,-0.136,-0.991,-0.159,-0.987,ETH,0
2022-09-21 18:00:50,71,0.065,0.305,0.023,-0.019,0.157,0.317,-0.003,-0.002,-0.979,0.203,0.000,1.000,ETH,0
2022-09-21 18:01:15,71,-0.026,0.114,-0.033,-0.023,0.114,0.136,-0.003,-0.003,-0.979,0.203,0.106,0.994,ETH,0
2022-09-21 18:01:40,71,0.011,0.205,-0.004,0.016,0.220,-0.004,-0.002,-0.000,-0.979,0.203,0.106,0.994,ETH,0
2022-10-13 12:30:50,72,0.023,0.253,0.030,0.063,0.286,0.314,-0.003,-0.002,-0.136,-0.991,-0.053,-0.999,ETH,0
2022-10-13 12:31:15,72,-0.005,0.208,-0.008,0.003,0.202,0.128,-0.003,-0.001,-0.136,-0.991,-0.159,-0.987,ETH,0
2022-10-13 12:31:40,72,-0.069,0.102,-0.068,-0.076,0.082,0.071,-0.003,-0.002,-0.136,-0.991,-0.159,-0.987,ETH,0
2022-10-25 17:00:50,73,0.203,0.442,0.094,0.001,0.218,0.318,0.005,0.007,-0.998,-0.068,0.000,1.000,ETH,0
2022-10-25 17:01:15,73,-0.018,0.165,-0.024,-0.034,0.093,0.089,0.005,0.005,-0.998,-0.068,0.106,0.994,ETH,0
2022-10-25 17:01:40,73,0.000,-0.013,-0.000,-0.035,-0.118,0.018,0.004,0.004,-0.998,-0.068,0.106,0.994,ETH,0
2022-11-08 19:35:00,74,-0.005,0.001,-0.123,-0.153,0.029,0.473,0.003,0.004,-0.888,0.460,-0.553,-0.833,ETH,0
2022-11-10 13:30:50,75,0.066,0.288,0.068,0.108,0.359,0.440,0.006,0.007,-0.398,-0.917,-0.053,-0.999,ETH,0
2022-11-10 13:31:15,75,-0.003,0.168,-0.018,-0.028,0.133,0.186,0.006,0.007,-0.398,-0.917,-0.159,-0.987,ETH,0
2022-11-10 13:31:40,75,-0.044,0.103,-0.035,-0.028,0.067,0.062,0.006,0.006,-0.398,-0.917,-0.159,-0.987,ETH,0
2023-04-14 00:37:05,76,0.081,0.381,0.052,0.017,0.270,0.737,0.003,0.004,0.000,1.000,-0.716,-0.698,ETH,0
2023-04-14 00:37:30,76,-0.010,0.195,-0.009,-0.020,0.127,0.222,0.004,0.004,0.000,1.000,-0.716,-0.698,ETH,0
2023-04-14 00:37:55,76,-0.031,0.080,-0.032,-0.026,0.091,0.104,0.004,0.004,0.000,1.000,-0.716,-0.698,ETH,0
2023-08-17 21:45:00,77,-0.082,0.158,-0.114,-0.108,0.083,0.041,-0.009,-0.009,-0.520,0.854,-0.997,0.080,ETH,0
2023-08-17 21:45:25,77,0.020,0.074,0.105,0.041,0.055,-0.103,-0.007,-0.007,-0.520,0.854,-0.997,0.080,ETH,0
2023-08-17 21:45:50,77,-0.161,-0.082,-0.093,-0.161,-0.120,-0.104,-0.006,-0.006,-0.520,0.854,-0.997,0.080,ETH,0
2020-11-18 05:45:50,78,-0.034,0.104,-0.042,-0.044,0.102,0.367,-0.004,-0.004,0.979,0.203,-0.997,0.080,XRP,0
2020-11-18 05:46:15,78,-0.040,0.083,-0.048,-0.042,0.051,0.229,-0.005,-0.005,0.979,0.203,-0.983,0.185,XRP,0
2020-11-18 05:46:40,78,-0.050,0.146,-0.041,-0.041,0.053,0.039,-0.004,-0.004,0.979,0.203,-0.983,0.185,XRP,0
2020-11-22 00:52:55,79,0.121,0.212,0.091,0.023,0.202,0.193,-0.005,-0.005,0.000,1.000,-0.678,0.735,XRP,0
2020-11-22 00:53:20,79,-0.033,0.110,-0.013,-0.021,0.059,-0.015,-0.005,-0.004,0.000,1.000,-0.596,0.803,XRP,0
2020-11-22 00:53:45,79,-0.081,0.051,-0.041,-0.033,0.034,-0.026,-0.004,-0.004,0.000,1.000,-0.596,0.803,XRP,0
2020-11-22 00:57:05,80,-0.105,-0.029,-0.070,-0.022,-0.008,0.127,-0.003,-0.003,0.000,1.000,-0.211,0.977,XRP,0
2020-11-22 00:57:30,80,-0.132,-0.053,-0.134,0.034,-0.038,-0.024,-0.003,-0.003,0.000,1.000,-0.211,0.977,XRP,0
2020-11-22 00:57:55,80,0.050,0.034,-0.010,-0.021,0.035,-0.052,-0.004,-0.003,0.000,1.000,-0.211,0.977,XRP,0
2020-11-22 01:42:55,81,0.185,0.195,0.086,0.175,0.279,0.449,-0.006,-0.005,0.270,0.963,-0.971,-0.237,XRP,0
2020-11-22 01:43:20,81,-0.073,0.058,-0.102,-0.053,0.059,0.013,-0.005,-0.005,0.270,0.963,-0.991,-0.133,XRP,0
2020-11-22 01:43:45,81,0.016,0.043,-0.025,-0.010,0.025,-0.033,-0.003,-0.004,0.270,0.963,-0.991,-0.133,XRP,0
2020-11-22 23:04:10,82,0.070,0.304,0.053,0.041,0.257,0.322,-0.003,-0.003,-0.000,1.000,0.413,0.911,XRP,0
2020-11-22 23:04:35,82,-0.013,0.056,-0.010,-0.002,0.015,0.108,-0.003,-0.003,-0.000,1.000,0.413,0.911,XRP,0
2020-11-22 23:05:00,82,-0.005,0.045,-0.011,-0.024,0.089,0.045,-0.003,-0.002,-0.000,1.000,0.508,0.862,XRP,0
2020-11-24 01:25:00,83,0.247,0.467,0.185,0.102,0.367,0.196,-0.004,-0.003,0.270,0.963,0.461,-0.887,XRP,0
2020-11-24 01:25:25,83,0.007,0.183,0.024,0.049,0.272,-0.031,-0.002,-0.001,0.270,0.963,0.461,-0.887,XRP,0
2020-11-24 01:25:50,83,0.022,0.174,-0.001,-0.006,0.125,-0.013,-0.000,-0.000,0.270,0.963,0.461,-0.887,XRP,0
2020-11-24 01:25:50,84,0.004,0.205,-0.016,-0.023,0.156,-0.012,-0.000,0.000,0.270,0.963,0.461,-0.887,XRP,0
2020-11-24 01:26:15,84,-0.031,0.139,0.018,0.614,0.506,-0.030,-0.001,-0.000,0.270,0.963,0.364,-0.931,XRP,0
